Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2006","2006","t","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2006","2006","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2007","2007","t","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2007","2007","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2008","2008","t","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2008","2008","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2009","2009","t","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2009","2009","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2010","2010","t","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2010","2010","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2011","2011","t","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2011","2011","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2012","2012","t","45","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2012","2012","1000 USD","39","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2013","2013","t","152","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2013","2013","1000 USD","156","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2014","2014","t","250.51","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2014","2014","1000 USD","223","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2015","2015","t","159.22","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2015","2015","1000 USD","208","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2016","2016","t","36.71","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2016","2016","1000 USD","58","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2017","2017","t","16.72","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2017","2017","1000 USD","46","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2018","2018","t","1.83","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2018","2018","1000 USD","6","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2019","2019","t","8.01","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2019","2019","1000 USD","20","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2020","2020","t","7.03","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2020","2020","1000 USD","12","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2021","2021","t","0.15","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2021","2021","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2022","2022","t","0.04","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2022","2022","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01450","Olives","2023","2023","t","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01450","Olives","2023","2023","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2000","2000","t","22214","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2000","2000","1000 USD","7183","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2001","2001","t","24808","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2001","2001","1000 USD","8874","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2002","2002","t","22667","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2002","2002","1000 USD","8402","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2003","2003","t","17059","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2003","2003","1000 USD","9148","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2004","2004","t","17722","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2004","2004","1000 USD","11225","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2005","2005","t","18706","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2005","2005","1000 USD","11565","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2006","2006","t","18943","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2006","2006","1000 USD","10265","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2007","2007","t","15980","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2007","2007","1000 USD","10444","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2008","2008","t","25851","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2008","2008","1000 USD","17799","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2009","2009","t","21442","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2009","2009","1000 USD","14052","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2010","2010","t","24580","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2010","2010","1000 USD","14100","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2011","2011","t","23610","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2011","2011","1000 USD","12781","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2012","2012","t","18170","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2012","2012","1000 USD","9645","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2013","2013","t","21165","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2013","2013","1000 USD","11339","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2014","2014","t","20063.32","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2014","2014","1000 USD","10831","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2015","2015","t","23254.13","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2015","2015","1000 USD","10791","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2016","2016","t","16343.5","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2016","2016","1000 USD","7668","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2017","2017","t","16463.64","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2017","2017","1000 USD","7107","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2018","2018","t","12548.01","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2018","2018","1000 USD","7111","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2019","2019","t","16917.61","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2019","2019","1000 USD","9040","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2020","2020","t","9700.63","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2020","2020","1000 USD","5193","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2021","2021","t","17288.08","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2021","2021","1000 USD","8995","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01323","Oranges","2022","2022","t","12637.64","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01323","Oranges","2022","2022","1000 USD","6594","A","Official figure",""
